School ID,School Name,ZIP,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
610051,Northwest Middle School,60639,4,Scantron,Average,48.90%,,,,50.30%,46.60%,55.50%,50.80%,,,,50.80%,39.20%,50.30%,46.90%,Below Average,34.90%,,,,25.10%,31.70%,32.10%,29.60%,,,,43.50%,30.50%,46.50%,40.30%,,50.80%,,45%,51.90%,50.60%,,46.90%,,43.20%,47.20%,47.20%,Not Yet Organized,Weak,Weak,Weak,Weak,Weak,Weak,93.90%,91.80%,1.7,1.6,93.40%,94.30%,95.10%,95.30%,No,No,
610052,Horace Mann Elementary School,60617,6,Scantron,Average,47.70%,40.90%,71%,41.70%,67.40%,45%,52.60%,53.40%,40.90%,43.80%,37.50%,42.60%,42.20%,46.20%,42.40%,Far Below Average,20.50%,20.40%,25%,21.90%,24.20%,19.60%,28.30%,23.20%,14.30%,10.50%,25.80%,15.60%,24%,18.20%,17.80%,53.40%,,,46.20%,,53.90%,42.40%,,,33.30%,,42.90%,Not Yet Organized,Neutral,Weak,Weak,Neutral,Weak,Weak,80.50%,74.30%,3.4,3.2,92.60%,92.80%,94.50%,95.60%,No,No,
610053,Marquette Elementary School,60629,6,Scantron,Below Average,36.80%,36.10%,38.90%,32.80%,35.20%,41.90%,53.30%,39.40%,32.10%,32.70%,37.10%,25.20%,27.70%,50.90%,34.20%,Far Below Average,17.40%,12.50%,14.30%,19.20%,11.10%,17.20%,29.90%,17.20%,4.40%,19.30%,24.20%,16.70%,12.20%,28.30%,17.60%,32%,46.10%,,31.10%,36.80%,39.40%,29.20%,38.90%,,30.60%,27.90%,33.80%,Not Yet Organized,Neutral,Weak,Weak,Weak,Weak,Very Weak,42.80%,86.80%,2,2.1,93.10%,92.50%,95.30%,95.10%,No,No,
610054,John L Marsh Elementary School,60617,0,NWEA,Not Enough Data,,,,,,,,,,,,,,,,Below Average,42.40%,45.20%,39.80%,50%,28.20%,66.20%,50.60%,46.10%,39.80%,45.90%,41.50%,26.60%,43.30%,36.10%,38.80%,,,,,,,,,,,,,Organized,Strong,Strong,Neutral,Neutral,Neutral,Very Strong,78.30%,46.40%,1.5,1.9,95.70%,95.20%,95.50%,96.60%,No,No,
610055,Michael Faraday Elementary School,60624,0,Scantron,Far Above Average,82.20%,75%,83.30%,47.40%,73.30%,84.20%,86.40%,75%,87.50%,88.20%,94.40%,80%,89.50%,100%,89.40%,Average,52.50%,44%,20%,10%,30.30%,50%,52%,35%,56%,55.60%,88.90%,72.70%,75%,74.10%,70.20%,75%,,,,,75.40%,89.40%,,,,,89.20%,Partially Organized,Very Weak,Strong,Strong,Very Weak,Weak,Neutral,74.20%,79.80%,2.6,2.6,93.30%,94.50%,94.60%,95.50%,No,No,
610057,Fairfield Elementary Academy,60629,6,Scantron,Below Average,42.60%,43.40%,25.50%,47.80%,42%,43.90%,35.80%,40%,39.60%,38.30%,41.30%,52%,51.50%,46.20%,45.20%,Far Below Average,21.90%,15.80%,14%,16%,13.20%,22.10%,17%,16.60%,15.80%,26%,20%,41.50%,33.80%,24.50%,27.20%,34.30%,46%,,32.40%,55.80%,39.40%,45.80%,44.60%,,75%,46.50%,45%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,91.70%,59.90%,2.9,3.4,93.40%,93.80%,93.30%,94.60%,No,No,
610058,Horatio May Elementary Community Academy,60644,6,Scantron,Average,45.80%,52%,32%,45.70%,67.50%,45.60%,50%,48.10%,36.50%,41.20%,43.50%,50%,44.60%,47.10%,43.50%,Far Below Average,23.80%,30.20%,11.10%,17.60%,20.90%,21.30%,40%,23.70%,21.80%,27.80%,30.60%,9.80%,20.30%,31.50%,24%,48.10%,,,25.70%,,47.80%,43.60%,,,36.10%,,43.50%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,49.50%,81.70%,3.1,2.5,91.90%,92.90%,96.40%,96%,No,No,
610059,Oscar F Mayer Elementary School,60614,0,Scantron,Above Average,57.90%,59.30%,53.10%,42.50%,45.90%,63.30%,42.10%,51.10%,72.20%,75%,75%,53.10%,51.90%,55.30%,65%,Average,48.90%,61.80%,45.50%,40.50%,33.30%,53.10%,33.30%,45.40%,65.50%,75%,57.10%,42.10%,38.70%,31.70%,52.30%,43.70%,59.50%,53.80%,26.70%,,47.40%,56.60%,71.40%,82.10%,53.50%,,58.40%,Moderately Organized,Strong,Weak,Strong,Weak,Neutral,Neutral,98.50%,88.90%,1.8,1.8,95%,94.80%,95.20%,95.40%,No,No,
610060,Andrew Jackson Elementary Language Academy,60607,0,NWEA,Above Average,69.30%,82.30%,64.10%,67.70%,69.40%,72.90%,54.40%,68.60%,96.70%,67.70%,56.30%,66.70%,73.30%,58.90%,69.90%,Far Above Average,85.50%,91.90%,93.80%,87.10%,88.90%,81.70%,82.50%,87.80%,93.80%,85.50%,85.90%,82.80%,75%,75.40%,83.30%,71.10%,74.40%,68.80%,,,69%,66.30%,75.60%,63.20%,,,65.60%,Well-organized,Very Strong,Strong,Strong,Neutral,Strong,Very Strong,,,,,97.40%,97%,96.10%,96.30%,Yes,Yes,2010
610061,William J & Charles H Mayo Elementary School,60653,1,NWEA,Average,49.40%,45%,50%,57.90%,63.90%,41.50%,45.50%,50.80%,65.90%,35.50%,56.10%,55.20%,35%,37%,48%,Far Below Average,24.80%,29.40%,24.20%,26.20%,32.60%,20.90%,12.50%,24.50%,41.20%,11.80%,26.20%,23.90%,30.20%,12.50%,25.10%,50.80%,,,,,50.60%,47.90%,,,,,47.70%,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Neutral,86.60%,78.10%,2.1,2.2,95.30%,93.90%,95.20%,95.20%,No,No,
610062,George B McClellan Elementary School,60609,4,Scantron,Above Average,57.60%,74.10%,63%,45%,72.20%,52.90%,48%,59.70%,77.80%,48.10%,47.60%,57.90%,58.80%,42.30%,55.50%,Below Average,42.50%,40.70%,39.30%,50%,27.80%,29.40%,44%,39.30%,77.80%,32.10%,42.90%,36.80%,41.20%,38.50%,45.70%,63.30%,59.20%,,61.30%,,59.70%,45.20%,53.40%,,56.30%,,53.50%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,66.70%,65.60%,1.9,1.3,93.20%,93.30%,96%,96.20%,No,No,
610063,Cyrus H McCormick Elementary School,60623,0,Scantron,Average,46.60%,51.30%,55.30%,41.40%,,,,49.10%,46%,45.60%,40.90%,,,,44.10%,Below Average,34%,23.50%,28%,27.10%,,,,26.20%,34.50%,50.50%,41.50%,,,,41.90%,,49.10%,,64.30%,48.80%,48.80%,,43.60%,,58.10%,39.20%,44.10%,Partially Organized,Neutral,Not Enough Data,Not Enough Data,Very Weak,Neutral,Not Enough Data,31.10%,14.30%,1.5,2.3,95.90%,94.90%,95.90%,96.30%,Yes,No,
610065,Emmett Louis Till Math and Science Academy,60637,6,Scantron,Below Average,41.30%,38.10%,31%,41.20%,45.80%,31.10%,57.90%,41.10%,27.70%,36.70%,35.70%,46%,45%,58.30%,41.60%,Far Below Average,16.30%,14.30%,9.80%,15.80%,13.60%,16.30%,20.80%,15.10%,10.70%,14.60%,11.80%,17.20%,29.50%,21.70%,17.60%,40.90%,,,29.50%,,41.30%,41.30%,,,36.40%,,41.70%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,45.90%,54.10%,2.3,2.3,88%,90.40%,93.30%,94.30%,No,No,
610066,James E McDade Elementary Classical School,60619,0,NWEA,Below Average,44.90%,54.50%,58.60%,66.70%,46.20%,,,56.70%,28.60%,46.40%,36.70%,23.10%,,,33.90%,Far Above Average,80.20%,86.40%,82.80%,93.50%,57.70%,,,80.60%,78.60%,86.20%,87.10%,65.40%,,,79.80%,57.40%,,,,,62.50%,34.90%,,,,,32.40%,Partially Organized,Not Enough Data,Very Weak,Weak,Not Enough Data,Not Enough Data,Weak,,,,,96.20%,97.70%,94.30%,96.20%,No,No,
610067,Francis M McKay Elementary School,60629,6,Scantron,Average,51%,42.50%,47.30%,53.80%,52.10%,74%,52.30%,53.50%,26.30%,45.50%,72.70%,48.60%,45.20%,54.70%,48.50%,Far Below Average,27.20%,21.30%,19.80%,18.40%,16.70%,33.80%,37%,24.10%,12.40%,24.10%,47.70%,29.50%,35.10%,34.70%,30.30%,51.50%,67.30%,,38.20%,,53.40%,46.70%,59.60%,,37.30%,,47.50%,Well-organized,Neutral,Neutral,Strong,Very Strong,Very Strong,Weak,67.80%,71.40%,5,3.3,93.50%,96.20%,95.10%,95.90%,No,No,
610068,Hanson Park Elementary School,60639,0,Scantron,Average,50.50%,54.50%,36%,44.60%,50%,48.10%,45.70%,46.40%,55%,34.20%,62.80%,55.80%,61.70%,57.50%,54.60%,Below Average,36.10%,39%,17.90%,17.90%,30.60%,35.80%,43%,30.30%,37.10%,22.80%,49.60%,45.50%,48.60%,47.20%,41.90%,,46.80%,,33.30%,45.10%,46.40%,,54.50%,,46.70%,61.50%,54.50%,Partially Organized,Not Enough Data,Weak,Very Weak,Not Enough Data,Not Enough Data,Neutral,11.50%,19.10%,3.2,2.3,95%,93.70%,94.90%,94.70%,No,No,
610070,James B McPherson Elementary School,60640,0,Scantron,Average,51.70%,45.20%,40.30%,55.80%,66.70%,42.60%,54%,49.40%,46%,50%,48.90%,68%,64.20%,50%,54%,Below Average,42.80%,38.70%,41%,28.90%,45.80%,49.10%,47.10%,41.90%,42.90%,40.50%,38.30%,54%,50%,38%,43.70%,,47.90%,66.70%,37.70%,,48.70%,,53.30%,48.40%,34.50%,,54.60%,Partially Organized,Neutral,Neutral,Neutral,Weak,Neutral,Strong,,42.90%,,2.3,96.50%,96.30%,96.30%,96.70%,No,No,
610072,Garrett A Morgan Elementary School,60620,7,Scantron,Below Average,38.90%,42.90%,37.50%,54.50%,80%,,23.10%,47.20%,64.70%,18.80%,30%,31.30%,30%,12.50%,31.80%,Far Below Average,22.20%,0%,15.80%,23.10%,33.30%,41.70%,43.80%,24.70%,15.80%,15.80%,25%,10.50%,8.30%,40%,19.80%,47.90%,,,,,46.50%,32.10%,,,,,31%,Not Yet Organized,Weak,Weak,Weak,Weak,Weak,Neutral,83.30%,56.70%,2.2,2.7,92%,91.70%,94.80%,94.50%,No,No,
610073,Ellen Mitchell Elementary School,60612,0,NWEA,Far Above Average,71.50%,51.70%,78.10%,69.60%,71.90%,70.40%,68%,68.50%,82.80%,67.70%,92%,75.80%,63%,66.70%,74.60%,Average,51.30%,34.40%,46.90%,56%,40.60%,50%,64%,47.70%,54.80%,58.10%,76.90%,48.50%,46.40%,45.80%,54.90%,,71.40%,,63.30%,,68.60%,,74.60%,,57.60%,,74%,Well-organized,Strong,Strong,Strong,Very Strong,Very Strong,Strong,73.80%,76%,2.6,2.1,95.50%,95.10%,97.70%,97.20%,No,No,
610074,James Monroe Elementary School,60647,4,Scantron,Below Average,43.40%,62.60%,28.30%,37%,46.10%,52.60%,42.20%,44.60%,58.40%,32.70%,41.40%,34.80%,45.70%,40%,42.30%,Below Average,35.90%,35%,22%,26%,26.70%,48.50%,41.70%,32.90%,39.80%,37.30%,41.70%,30.80%,39.80%,44.40%,38.90%,,44.60%,,14.30%,53.50%,45%,,42.70%,,34.30%,60.30%,42%,Not Yet Organized,Weak,Weak,Weak,Weak,Weak,Neutral,72.40%,83.80%,2.6,2.5,95.10%,94.60%,95.80%,96.20%,No,No,
610076,Bernhard Moos Elementary School,60647,6,Scantron,Above Average,55%,30%,51.70%,50%,56.10%,65.50%,67.60%,53.70%,46.70%,32.30%,64.70%,69%,52%,65.70%,56.30%,Below Average,43.20%,23.30%,27.60%,23.70%,39%,48.30%,47.20%,35%,16.70%,41.90%,46.20%,55.80%,77.80%,67.60%,51.20%,,53.90%,,,48.40%,53.80%,,58.30%,,,54.80%,55.70%,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Strong,13.10%,12.70%,2.2,1.5,93%,93.50%,96.30%,95%,No,No,
610077,Donald Morrill Math & Science Elementary School,60629,6,Scantron,Average,53.60%,63.50%,52%,54.50%,62.20%,55.60%,56.50%,57.60%,27.30%,49.40%,48.10%,61.60%,49.20%,70.50%,49.70%,Far Below Average,27.20%,24.70%,23.10%,16.30%,25%,19.70%,38.50%,24.20%,19.40%,38.80%,21.30%,26%,26.60%,54.70%,30.10%,51.20%,63.90%,,48.50%,55.90%,58.10%,46.40%,53.30%,,42.60%,44.10%,49.70%,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Weak,71.40%,41.20%,2,1.6,93.40%,94.30%,94.80%,95.60%,No,No,
610078,Inter-American Elementary Magnet School,60613,0,Scantron,Average,47.90%,40.30%,50.80%,35.10%,61.50%,55%,43.60%,47.40%,34.90%,60%,17.50%,50%,67.30%,62.10%,48.40%,Average,53.10%,44.10%,39.30%,31.10%,42.30%,70%,65.50%,48.50%,47.80%,66.10%,38.70%,59.30%,69.10%,67.80%,57.70%,,46%,,,31%,44.80%,,48.30%,,,42.50%,47.70%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Strong,37.50%,36.70%,2.8,1.3,96.20%,96.30%,96.20%,95.20%,Pending,No,
610081,Mark Sheridan Elementary Math & Science Academy,60616,0,NWEA,Above Average,64.20%,55.20%,72.10%,80.60%,56.90%,63.60%,57.40%,63.20%,60%,75.40%,70%,53.70%,63.60%,66%,65%,Far Above Average,72.30%,80%,82%,84.80%,66%,67.30%,74.10%,75.30%,82.30%,72.60%,65.60%,69.10%,52.70%,74.10%,69.60%,60%,59.70%,68.30%,,,64.20%,66.70%,63.50%,57.80%,63.60%,,63.10%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,,,,,96.80%,97.10%,97%,97.20%,Pending,No,
610082,Mount Greenwood Elementary School,60655,0,NWEA,Far Above Average,74.10%,78.60%,76.30%,67%,57.80%,67.90%,71.40%,70.10%,69%,78.50%,83.70%,86.90%,72.30%,79.70%,78.10%,Far Above Average,77.60%,86%,77.70%,79.30%,72.30%,81.20%,82.50%,79.90%,85.10%,70.50%,71%,77.40%,71.80%,75%,75.30%,,68.50%,69.50%,75.50%,,67.80%,,75%,78.50%,74.50%,,77.10%,Well-organized,Very Strong,Very Strong,Very Strong,Strong,Very Strong,Very Strong,91.70%,53.30%,2.9,4.1,96%,95.90%,96.10%,96.50%,No,No,
610084,Annie Keller Elementary Gifted Magnet School,60655,0,Scantron,Above Average,66.90%,65.50%,62.10%,75%,66.70%,78.60%,86.20%,72.30%,55.20%,62.10%,66.70%,70%,76.90%,37.90%,61.30%,Far Above Average,99.40%,100%,100%,100%,100%,96.40%,100%,99.40%,100%,100%,100%,96.70%,100%,100%,99.40%,69.60%,,77.60%,,,,58.20%,,59.70%,,,,Organized,Very Strong,Weak,Weak,Very Strong,Strong,Very Strong,91.70%,,1.5,,97.50%,97.60%,96.50%,94.50%,No,No,
610086,Mount Vernon Elementary School,60643,0,Scantron,Above Average,62.70%,36%,61.90%,83.30%,70%,73.10%,,64.10%,56%,36.80%,88.20%,57.10%,60%,75%,61.40%,Below Average,33%,33.30%,26.10%,35%,33.30%,44.40%,63.60%,39.30%,11.10%,27.30%,47.40%,18.20%,26.90%,35%,26.50%,64.10%,,,,,63.20%,61.40%,,,,,60.50%,Not Yet Organized,Weak,Weak,Weak,Neutral,Neutral,Weak,50.70%,68%,2.2,2.1,93.30%,93.10%,94.10%,94.80%,No,No,
610088,Wolfgang A Mozart Elementary School,60647,0,Scantron,Average,45.40%,36.90%,36.40%,43.30%,53.30%,,,42.20%,48.20%,35.80%,49.20%,61.70%,,,48.40%,Below Average,30.20%,16.10%,25.40%,31.30%,34.90%,,,26.30%,22.80%,29.40%,37%,50.80%,,,34%,,44.10%,,,45%,42.60%,,50%,,,37%,48.70%,Organized,Not Enough Data,Strong,Neutral,Not Enough Data,Not Enough Data,Strong,34.90%,43.40%,2.8,1.9,95.20%,94%,96.40%,95.60%,No,No,
610089,John B Murphy Elementary School,60618,0,Scantron,Average,49.50%,58.90%,50%,45.90%,53.60%,42.30%,49.20%,50.40%,63%,66.70%,45.20%,42.90%,45.80%,27.10%,48.60%,Average,46.10%,50%,29.80%,28.60%,44.60%,43.40%,39%,39.80%,48.60%,53.10%,46%,50%,68.80%,52.50%,52.40%,,49%,55%,39.60%,56.40%,48.30%,,49.30%,44.20%,52.90%,61.80%,48%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Strong,35.30%,90%,1.5,3.7,95.60%,94.20%,96.30%,95.90%,No,No,
610090,Phillip Murray Elementary Language Academy,60615,0,NWEA,Above Average,58.80%,77.40%,66.70%,50%,58.90%,68.10%,42.60%,59.70%,51.80%,70%,51.80%,69.60%,53.20%,52.50%,58%,Above Average,56.50%,74.10%,76.20%,49.10%,60.30%,51%,54.10%,60.20%,61.40%,74%,37.50%,60%,47.90%,39.30%,53%,57.60%,,,50%,,57.30%,56.10%,,58.10%,48.80%,,58.70%,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Strong,75%,60%,1.9,2,95.60%,96.30%,95.90%,95.30%,No,No,
610091,Ronald Brown Elementary Community Academy,60628,0,Scantron,Above Average,59.30%,47.80%,42.90%,62.50%,47.80%,75.80%,76%,60.40%,45.80%,52.40%,54.20%,70.80%,57.60%,68%,58.30%,Below Average,37.50%,40%,28.60%,37.50%,29.20%,44.40%,48.10%,38.90%,15.40%,33.30%,33.30%,50%,42.90%,39.30%,36.10%,60.50%,,,,,59.20%,59.10%,,,,,57.60%,Organized,Weak,Strong,Strong,Neutral,Neutral,Neutral,59.90%,77%,2.3,2.2,93.80%,92.70%,96.30%,96.30%,No,No,
610092,Henry H Nash Elementary School,60644,11,Scantron,Above Average,61.40%,45%,62.20%,63.90%,71.40%,67.40%,58.30%,61.80%,73.70%,44.40%,61.10%,61.90%,63.80%,59.10%,61.10%,Below Average,30.40%,8.70%,15%,28.90%,44.70%,34.70%,33.30%,27.50%,26.70%,20%,26.30%,48.90%,34%,47.80%,33.30%,61.80%,,,37.50%,,62.30%,60.60%,,,36.40%,,61.60%,Organized,Neutral,Very Strong,Strong,Neutral,Neutral,Strong,44.80%,59.30%,2.5,1.9,95.10%,96.40%,95.80%,94.50%,No,No,
610093,Jane A Neil Elementary School,60619,5,Scantron,Below Average,42.90%,37.50%,25%,27.60%,34.50%,42.30%,57.10%,37.20%,38.50%,28.60%,20.70%,70%,57.10%,75%,48.50%,Far Below Average,28.40%,33.30%,3.10%,16.10%,32.30%,37%,55.20%,28.80%,21.40%,12.10%,6.50%,37.50%,34.50%,58.60%,28%,37.20%,,,23.30%,,34.50%,48.20%,,,36.40%,,51.40%,Not Yet Organized,Weak,Weak,Weak,Neutral,Neutral,Neutral,70.80%,80.80%,2.2,1.9,88.90%,90.50%,94.60%,95.50%,No,No,
610094,Louis Nettelhorst Elementary School,60657,0,Scantron,Above Average,55.10%,60.20%,40.40%,48.40%,63.30%,61.10%,52.60%,54.30%,47.60%,60.80%,57.60%,65.30%,55.90%,51.40%,55.80%,Above Average,67.20%,78.80%,69.80%,69.10%,70%,77.80%,60%,71.70%,58.30%,64.20%,67.60%,70%,61.80%,52.50%,62.60%,52.60%,52.70%,52.80%,58.80%,,48.50%,47.40%,47.90%,60.70%,55.90%,,55.20%,Well-organized,Very Strong,Neutral,Neutral,Strong,Very Strong,Strong,33.30%,20%,2.5,1.7,95.50%,94.70%,95.90%,97.10%,No,No,
610095,Walter L Newberry Math & Science Academy ES,60614,0,NWEA,Above Average,59.50%,52.40%,56.90%,38.10%,74.10%,76%,71.10%,60.80%,32.60%,67.30%,47.50%,69.50%,73.60%,55.60%,58.20%,Above Average,62.60%,57.10%,59.30%,42.20%,69%,56.40%,78.30%,59.60%,55.30%,69.60%,65.60%,71.20%,60%,69.10%,65.50%,51.30%,66.30%,65.30%,57.90%,,58.80%,50.40%,55%,68.90%,56.50%,,54.60%,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Strong,46.20%,63.50%,1.3,1.5,95.10%,94.90%,96.30%,95.80%,Pending,No,
610096,Florence Nightingale Elementary School,60632,0,Scantron,Above Average,56%,60%,52.50%,71.80%,54.90%,43%,44.10%,55.10%,61.90%,49.60%,62.70%,55.50%,62%,51%,57%,Below Average,41.10%,29.10%,37.80%,25%,33.90%,32.60%,39.80%,32.80%,32.20%,49.20%,59.70%,54.80%,49.50%,50.50%,49.40%,,55%,,40%,59.10%,54.90%,,57.10%,,52.50%,54.70%,56.90%,Organized,Neutral,Neutral,Neutral,Strong,Strong,Neutral,79.10%,59.20%,2.2,1.8,95.60%,93.90%,95.80%,95.80%,Yes,No,
610097,William P Nixon Elementary School,60639,0,Scantron,Average,53.60%,51.40%,59.80%,44.10%,50%,,,51.90%,56%,61.10%,41.50%,62%,,,55.20%,Below Average,31.20%,31.80%,25.80%,25.50%,33.70%,,,28.70%,24.10%,37.90%,33.60%,38.10%,,,33.50%,,51.90%,,,51.50%,51.90%,,54.50%,,,55.40%,55.30%,Organized,Neutral,Neutral,Neutral,Strong,Strong,Neutral,88.90%,91.10%,1.6,1.4,95.60%,94.90%,95.80%,96.60%,No,No,
610098,Alfred Nobel Elementary School,60651,0,Scantron,Above Average,66.80%,57.10%,64.80%,68.20%,83.10%,61.20%,56.10%,66%,65.30%,74.10%,45.50%,83.80%,64%,72.10%,67.60%,Below Average,39.80%,29.20%,27.30%,29.90%,41%,26%,32.20%,31.50%,37.70%,49.10%,32.80%,48%,58%,68.30%,48.10%,50.70%,70.40%,,32.40%,77.20%,66.30%,63.90%,68.50%,,61.50%,76.10%,66.90%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,31.70%,30.10%,2.7,1.9,94.60%,94.20%,95.20%,96.30%,No,No,
610099,Norwood Park Elementary School,60631,0,NWEA,Above Average,64.30%,75%,70.70%,66.70%,71.10%,48.70%,54.20%,64.50%,67.90%,57.50%,76.70%,66.70%,55%,66.70%,64.20%,Far Above Average,76.40%,85.70%,73.80%,65.60%,71.10%,84.60%,73.10%,75.60%,92.90%,73.20%,71.90%,66.70%,82.50%,80.80%,77.20%,,60.40%,63.80%,,,,,57.40%,65.90%,,,,Organized,Not Enough Data,Strong,Neutral,Not Enough Data,Not Enough Data,Very Strong,,4.10%,,1,95.50%,94.70%,95.60%,95.10%,No,No,
610100,West Park Elementary Academy,60651,4,Scantron,Average,53.60%,48.50%,38.30%,30.20%,46.40%,50.90%,70%,47.50%,65.60%,61.20%,37.10%,75%,59.20%,59.60%,59.90%,Below Average,36.20%,27.10%,32.10%,18.80%,19.40%,31.70%,46%,28.80%,42.90%,51.90%,31.30%,44.90%,43.40%,50.80%,43.90%,45.70%,48.70%,,,41.50%,46.60%,57.70%,60.50%,,,55.80%,59.70%,Not Yet Organized,Weak,Weak,Weak,Neutral,Weak,Weak,41.20%,46.40%,2.6,2.7,93.70%,93.30%,96.70%,96.60%,No,No,
610101,William B Ogden Elementary School,60610,0,NWEA,Above Average,59.70%,51.40%,66.70%,66%,67.70%,,,63.20%,55.70%,56.60%,66.70%,50%,,,56.50%,Above Average,64.50%,59%,70.90%,59.50%,70.20%,,,65.40%,64.10%,70.90%,56.80%,62.50%,,,63.60%,55.10%,72%,65.50%,50%,,57.40%,51.80%,60%,55.90%,43.60%,,51.90%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,36%,51.20%,1.1,1.7,95.10%,95%,97%,97.60%,No,No,
610102,Richard J Oglesby Elementary School,60620,9,Scantron,Above Average,56.20%,47.30%,66.70%,48.60%,61.90%,62.20%,65.20%,57.20%,41.50%,51.20%,52.80%,71.40%,64.90%,66.70%,55.10%,Below Average,33.50%,23.70%,29.50%,26.30%,41.70%,50%,44%,33.90%,24.60%,24.40%,18.40%,54.20%,50%,42.30%,33%,57%,,,,,57.80%,55.40%,,,,,55.70%,Not Yet Organized,Weak,Very Weak,Weak,Very Weak,Very Weak,Weak,87.50%,74.40%,2.7,2.3,94.40%,93.70%,96.90%,96.70%,No,No,
610103,Isabelle C O'Keeffe Elementary School,60649,6,Scantron,Below Average,36.40%,28.80%,23.30%,34.50%,44.60%,24.40%,45.20%,34.30%,38.60%,25.80%,50.90%,40%,21.90%,44.40%,38.70%,Far Below Average,16.70%,11.50%,12.50%,20%,21.30%,7.10%,24.40%,16.60%,8.10%,15.20%,25%,26.20%,4.50%,19%,16.90%,34.30%,,,28.10%,,33.80%,38.70%,,,,,38.20%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Very Weak,92.50%,69.10%,1.7,2.8,92.10%,90.70%,94.60%,95.30%,No,No,
610104,William J Onahan Elementary School,60631,0,NWEA,Above Average,60.60%,53.70%,58.80%,66.70%,84.60%,41.70%,46.30%,59.20%,71%,64.70%,52.90%,78.50%,65.60%,35.70%,62%,Above Average,63.40%,67.20%,65.20%,73.50%,65.70%,57.10%,48.20%,63.30%,65.20%,65.20%,67.10%,73.10%,60.90%,45.60%,63.40%,,61.90%,57%,41%,,55.20%,,67.60%,59.80%,56.40%,,56%,Organized,Very Strong,Weak,Neutral,Very Strong,Very Strong,Strong,23.40%,47.20%,1.7,1.1,95.70%,94.40%,96.10%,95.80%,No,No,
610105,Oriole Park Elementary School,60656,0,NWEA,Above Average,68.90%,60.30%,67.70%,61.40%,71.90%,57.10%,56.90%,63%,81.70%,70.10%,59.60%,78.10%,88%,72.40%,74.70%,Far Above Average,82.60%,70.30%,74.60%,79.30%,89.20%,88.50%,85.20%,80.90%,72.60%,79.10%,79.30%,87.70%,98.10%,91.40%,84.30%,,63%,63.90%,50%,,69.60%,,78.70%,73.40%,56.80%,,72.60%,Organized,Not Enough Data,Strong,Neutral,Not Enough Data,Not Enough Data,Strong,46.70%,,3.4,,96.50%,96.50%,95.50%,95.80%,No,No,
